parameter,harmonized_units,misc_flag,n
Apparent color,ADMI value,0,47
Apparent color,None,0,17002
Apparent color,PCU,0,233725
Apparent color,PCU,1,99
Color,PCU,0,3189
True color,ADMI value,0,15652
True color,None,0,6486
True color,None,1,5
True color,PCU,0,803281
True color,PCU,1,153
